date,event,common_name,genus,species,county,lifeform,group,dataset_num,invasive
3/20/90,FLOWERING,ALDER,ALNUS,SP,ITASCA,PLANTS,WOODY,1,
2/27/87,FLOWERING,ALDER,ALNUS,SP,ITASCA,PLANTS,WOODY,1,
3/2/86,FLOWERING,ALDER,ALNUS,SP,ITASCA,PLANTS,WOODY,1,
6/17/16,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
9/5/15,LAST FLOWERS,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
7/2/13,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
7/3/11,FULL FLOWERING (GROUP),ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
7/6/10,FULL FLOWERING (GROUP),ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/9/10,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
7/2/09,FULL FLOWERING (GROUP),ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/24/08,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/6/07,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/29/05,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/21/03,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/19/02,FULL FLOWERING (GROUP),ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/6/00,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/30/94,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
7/3/93,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/27/91,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/25/90,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/15/89,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/17/87,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/20/86,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
6/24/85,FLOWERING,ALFALFA,MEDICAGO,SATIVA,ITASCA,PLANTS,FORB,1,
7/18/15,FLOWERING,ALLEGHENY MONKEY FLOWER,MIMULUS,RINGENS,ITASCA,PLANTS,FORB,1,
7/6/06,FLOWER BUDS SWELLING,ALLEGHENY MONKEY FLOWER,MIMULUS,RINGENS,ITASCA,PLANTS,FORB,1,
8/13/05,FULL FLOWERING (GROUP),ALLEGHENY MONKEY FLOWER,MIMULUS,RINGENS,ITASCA,PLANTS,FORB,1,
6/17/16,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
6/3/10,FLOWERING,ALSIKE CLOVER,TRIFOLIUM,HYBRIDUM,ITASCA,PLANTS,FORB,1,
